,ChEMBL ID,Name,SMILES,Molecular Weight,LogP,HBA,HBD,TPSA,Protein
1846,CHEMBL402373,,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2ccc(C(F)(F)F)cc2)C1,631.64,4.37,5.0,3.0,90.90,BACE1
1847,CHEMBL401993,,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2ccc(Cl)cc2)C1,598.09,4.00,5.0,3.0,90.90,BACE1
1848,CHEMBL403241,,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2ccc(F)cc2)C1,581.64,3.49,5.0,3.0,90.90,BACE1
1849,CHEMBL271249,,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2ccccc2)C1,563.65,3.35,5.0,3.0,90.90,BACE1
1850,CHEMBL403850,,CCCOCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,559.65,2.58,6.0,3.0,100.13,BACE1
1851,CHEMBL401717,,CCOCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,545.63,2.19,6.0,3.0,100.13,BACE1
1852,CHEMBL255336,,COCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,545.63,2.19,6.0,3.0,100.13,BACE1
1853,CHEMBL428952,,CCOCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,559.65,2.58,6.0,3.0,100.13,BACE1
1854,CHEMBL402070,,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(CC2CC2)C1,527.61,2.56,5.0,3.0,90.90,BACE1
1855,CHEMBL255540,,CCCC(CCC)N1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,571.71,4.12,5.0,3.0,90.90,BACE1
1856,CHEMBL403593,,CCCCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,557.68,3.73,5.0,3.0,90.90,BACE1
1857,CHEMBL428870,,CCCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,543.66,3.34,5.0,3.0,90.90,BACE1
1858,CHEMBL429505,,CCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,529.63,2.95,5.0,3.0,90.90,BACE1
1859,CHEMBL258350,,CC(C)N1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,515.60,2.56,5.0,3.0,90.90,BACE1
1860,CHEMBL258351,,CCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,515.60,2.56,5.0,3.0,90.90,BACE1
1861,CHEMBL410555,,CCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,501.57,2.17,5.0,3.0,90.90,BACE1
1862,CHEMBL255400,,CCCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)[C@H](Cc2ccccc2)C1=O,633.78,4.81,5.0,3.0,90.90,BACE1
1863,CHEMBL403195,,COC[C@H]1CCCN1C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Oc3ccccc3)CN2)c1,607.70,4.04,6.0,3.0,100.13,BACE1
1864,CHEMBL244416,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OC)c(OC)cc3oc2=O)cc1,429.52,5.50,5.0,0.0,51.91,BACE1
1865,CHEMBL270248,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3ccc(OCCNC(=O)/C=C/c4ccc(Cl)c(Cl)c4)cc3oc2=O)cc1,627.57,8.00,5.0,1.0,71.78,BACE1
1866,CHEMBL271710,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3ccc(OCCNC(=O)CCc4ccc(F)c(F)c4)cc3oc2=O)cc1,596.67,6.89,5.0,1.0,71.78,BACE1
1867,CHEMBL271709,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3ccc(OCCNC(=O)/C=C/c4cc(F)cc(F)c4)cc3oc2=O)cc1,594.66,6.97,5.0,1.0,71.78,BACE1
1868,CHEMBL26125,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3ccc(OCCNC(=O)Cc4cc(F)cc(F)c4)cc3oc2=O)cc1,582.65,6.50,5.0,1.0,71.78,BACE1
1869,CHEMBL407904,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OCCNC(=O)/C=C/c4ccc(Cl)c(Cl)c4)ccc3oc2=O)cc1,627.57,8.00,5.0,1.0,71.78,BACE1
1870,CHEMBL248922,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OCCNC(=O)CCc4ccc(F)c(F)c4)ccc3oc2=O)cc1,596.67,6.89,5.0,1.0,71.78,BACE1
1871,CHEMBL239046,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OCCNC(=O)/C=C/c4cc(F)cc(F)c4)ccc3oc2=O)cc1,594.66,6.97,5.0,1.0,71.78,BACE1
1872,CHEMBL272700,,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OCCNC(=O)Cc4cc(F)cc(F)c4)ccc3oc2=O)cc1,582.65,6.50,5.0,1.0,71.78,BACE1
1873,CHEMBL272320,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CCN2)c1,487.59,3.60,4.0,3.0,81.67,BACE1
1874,CHEMBL402276,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCC3CCCCC3)CCN2)c1,627.82,5.95,5.0,3.0,90.90,BACE1
1875,CHEMBL256372,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCCN(C)C)CCN2)c1,602.77,3.94,6.0,3.0,94.14,BACE1
1876,CHEMBL257645,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCCOC)CCN2)c1,589.72,4.02,6.0,3.0,100.13,BACE1
1877,CHEMBL404078,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCC3CC3)CCN2)c1,585.74,4.78,5.0,3.0,90.90,BACE1
1878,CHEMBL401527,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OC(C)C)CCN2)c1,573.73,4.78,5.0,3.0,90.90,BACE1
1879,CHEMBL399979,,CCCCO[C@H]1CCN[C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C)cc(C(=O)N(CCC)CCC)c2)C1,587.75,5.17,5.0,3.0,90.90,BACE1
1880,CHEMBL257278,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCC)CCN2)c1,559.70,4.39,5.0,3.0,90.90,BACE1
1881,CHEMBL256676,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OC(C)=O)CCN2)c1,573.68,3.92,6.0,3.0,107.97,BACE1
1882,CHEMBL257087,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](CC3CCCCC3)CCN2)c1,611.82,6.58,4.0,3.0,81.67,BACE1
1883,CHEMBL257091,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](C3CCCCC3)CCN2)c1,597.79,6.19,4.0,3.0,81.67,BACE1
1884,CHEMBL256904,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](CCc3ccccc3)CCN2)c1,619.80,6.24,4.0,3.0,81.67,BACE1
1885,CHEMBL428074,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Cc3ccc(OC)cc3)CCN2)c1,635.80,5.86,5.0,3.0,90.90,BACE1
1886,CHEMBL257907,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Cc3cccc(OC)c3)CCN2)c1,635.80,5.86,5.0,3.0,90.90,BACE1
1887,CHEMBL257735,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Cc3ccccc3OC)CCN2)c1,635.80,5.86,5.0,3.0,90.90,BACE1
1888,CHEMBL255194,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Cc3ccccc3)CCN2)c1,605.77,5.85,4.0,3.0,81.67,BACE1
1889,CHEMBL258083,,CCC[C@H]1CCN[C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C)cc(C(=O)N(CCC)CCC)c2)C1,557.73,5.41,4.0,3.0,81.67,BACE1
1890,CHEMBL270153,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CCCCN2)c1,515.65,4.38,4.0,3.0,81.67,BACE1
1891,CHEMBL255372,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OC)CN2)c1,531.64,3.61,5.0,3.0,90.90,BACE1
1892,CHEMBL404680,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](O)CN2)c1,517.62,2.96,5.0,4.0,101.90,BACE1
1893,CHEMBL256434,,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CCCN2)c1,501.62,3.99,4.0,3.0,81.67,BACE1
1894,CHEMBL271914,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)N[C@H]2CC[C@H](C(=O)O)CC2)cc1,537.06,5.34,4.0,3.0,118.94,BACE1
1895,CHEMBL271440,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCc2ccc(O)c(OC)c2)cc1,547.06,5.61,5.0,3.0,111.10,BACE1
1896,CHEMBL269943,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCc2ccc(F)c(F)c2F)cc1,555.00,6.31,3.0,2.0,81.64,BACE1
1897,CHEMBL404341,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCc2ccco2)cc1,490.99,5.49,4.0,2.0,94.78,BACE1
1898,CHEMBL270154,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCc2cccs2)cc1,507.06,5.96,4.0,2.0,81.64,BACE1
1899,CHEMBL272719,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCCn2ccnc2)cc1,519.05,4.98,5.0,2.0,99.46,BACE1
1900,CHEMBL272718,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCC2OCCO2)cc1,511.02,4.46,5.0,2.0,100.10,BACE1
1901,CHEMBL403107,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCCSC)cc1,499.08,5.45,4.0,2.0,81.64,BACE1
1902,CHEMBL271422,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCC(C)(C)CO)cc1,497.04,4.71,4.0,3.0,101.87,BACE1
1903,CHEMBL256000,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCCC(N)=O)cc1,496.01,3.96,4.0,3.0,124.73,BACE1
1904,CHEMBL430034,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCC(O)CO)cc1,484.98,3.05,5.0,4.0,122.10,BACE1
1905,CHEMBL272970,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCC(N)=O)cc1,481.98,3.57,4.0,3.0,124.73,BACE1
1906,CHEMBL270820,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCC(=O)O)cc1,482.97,4.17,4.0,3.0,118.94,BACE1
1907,CHEMBL273186,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCCC(=O)O)cc1,497.00,4.56,4.0,3.0,118.94,BACE1
1908,CHEMBL428075,,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)N[C@H]2CC[C@H](O)CC2)cc1,509.05,5.00,4.0,3.0,101.87,BACE1
1909,CHEMBL404020,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCc1ccsc1,486.69,5.36,3.0,2.0,72.41,BACE1
1910,CHEMBL257099,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCc1cccc(N)c1,481.64,4.84,3.0,3.0,98.43,BACE1
1911,CHEMBL272765,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCc1cccs1,486.69,5.36,3.0,2.0,72.41,BACE1
1912,CHEMBL404166,,Cc1csc(CN/C(N)=N\C(=O)Cn2c(-c3ccccc3)ccc2C23CC4CC(CC(C4)C2)C3)n1,487.67,5.02,4.0,2.0,85.30,BACE1
1913,CHEMBL272766,,Cc1nnc(CN/C(N)=N\C(=O)Cn2c(-c3ccccc3)ccc2C23CC4CC(CC(C4)C2)C3)o1,472.59,3.95,5.0,2.0,111.33,BACE1
1914,CHEMBL404256,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NC1CCCCC1,458.65,5.39,2.0,2.0,72.41,BACE1
1915,CHEMBL402576,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)N[C@H]1CC[C@H](O)CC1,474.65,4.36,3.0,3.0,92.64,BACE1
1916,CHEMBL256823,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCCn1ccnc1,484.65,4.34,4.0,2.0,90.23,BACE1
1917,CHEMBL401832,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCC(O)CO,450.58,2.41,4.0,4.0,112.87,BACE1
1918,CHEMBL258315,,C[C@H](O)CN/C(N)=N\C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2,434.58,3.43,3.0,3.0,92.64,BACE1
1919,CHEMBL256063,,C[C@@H](O)CN/C(N)=N\C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2,434.58,3.43,3.0,3.0,92.64,BACE1
1920,CHEMBL404897,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCCCO,448.61,3.83,3.0,3.0,92.64,BACE1
1921,CHEMBL258356,,N#CCCN/C(N)=N\C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2,429.57,3.97,3.0,2.0,96.20,BACE1
1922,CHEMBL258355,,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCO,420.56,3.05,3.0,3.0,92.64,BACE1
1923,CHEMBL438355,,N#CCCCN/C(N)=N\C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2,443.60,4.36,3.0,2.0,96.20,BACE1
1924,CHEMBL403087,,C[C@@H](C(=O)NC1CCCCC1)N(C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(S(C)(=O)=O)c1,529.70,2.56,6.0,3.0,115.81,BACE1
1925,CHEMBL256581,,C[C@H](NC[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(S(C)(=O)=O)c1)C(=O)NC1CCCCC1,515.68,2.22,6.0,4.0,124.60,BACE1
1926,CHEMBL256162,,CC(C)C[C@H](NC(=O)c1cccc(S(C)(=O)=O)c1)[C@H](O)CN[C@@H](C)C(=O)NC1CCCCC1,481.66,2.02,6.0,4.0,124.60,BACE1
1927,CHEMBL257871,,CCCc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,562.76,3.89,5.0,4.0,110.77,BACE1
1928,CHEMBL255192,,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(N2CCCC2)cc(N2CCCC2=O)c1)C(=O)NC1CCCCC1,589.78,3.54,6.0,4.0,114.01,BACE1
1929,CHEMBL255964,,CC(C)CNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,591.80,4.01,6.0,5.0,122.80,BACE1
1930,CHEMBL227053,,CC(C)Nc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,577.77,3.76,6.0,5.0,122.80,BACE1
1931,CHEMBL272714,,CCCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,578.75,3.73,6.0,4.0,120.00,BACE1
1932,CHEMBL403533,,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2)c1,550.74,3.81,6.0,4.0,102.93,BACE1
1933,CHEMBL256399,,CCCCCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,606.81,4.51,6.0,4.0,120.00,BACE1
1934,CHEMBL255977,,CC(C)Oc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,578.75,3.73,6.0,4.0,120.00,BACE1
1935,CHEMBL258068,,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,564.73,3.34,6.0,4.0,120.00,BACE1
1936,CHEMBL258277,,COc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,550.70,2.95,6.0,4.0,120.00,BACE1
1937,CHEMBL402305,,CCCCCS(=O)(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)c1,571.78,3.78,6.0,4.0,124.60,BACE1
1938,CHEMBL271231,,CC(=O)Nc1ccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc1,494.64,2.77,5.0,5.0,119.56,BACE1
1939,CHEMBL271230,,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N2CCCC2=O)c1)C(=O)NC1CCCCC1,520.67,2.94,5.0,4.0,110.77,BACE1
1940,CHEMBL271437,,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N2CCCS2(=O)=O)c1)C(=O)NC1CCCCC1,556.73,2.36,6.0,4.0,127.84,BACE1
1941,CHEMBL1546,HYDROXYAMPHETAMINE,CC(N)Cc1ccc(O)cc1,151.21,1.28,2.0,2.0,46.25,BACE1
1942,CHEMBL257587,,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cc(Cl)cc(Cl)c1,733.66,0.96,10.0,8.0,246.21,BACE1
1943,CHEMBL270172,,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)NS(=O)(=O)C(F)(F)F,720.73,-2.02,12.0,8.0,280.35,BACE1
1944,CHEMBL261655,,COc1cccc(CN2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc3cccc(N(C)C)c3)NC2=O)c1,545.68,2.53,6.0,4.0,106.17,BACE1
1945,CHEMBL260621,,CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1,600.66,4.31,4.0,4.0,93.70,BACE1
1946,CHEMBL405889,,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H]2CN(Cc3ccccc3)C(=O)N2)c1,551.64,2.80,5.0,4.0,96.94,BACE1
1947,CHEMBL260834,,CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1,564.68,4.03,4.0,4.0,93.70,BACE1
1948,CHEMBL411917,,CC(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1,550.65,3.86,4.0,4.0,93.70,BACE1
1949,CHEMBL259083,,O=C(N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(OC(F)(F)F)c1)[C@@H]1CN(Cc2ccccc2)C(=O)N1,556.59,3.36,5.0,4.0,102.93,BACE1
1950,CHEMBL259547,,O=C(N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(C(F)(F)F)c1)[C@@H]1CN(Cc2ccccc2)C(=O)N1,540.59,3.48,4.0,4.0,93.70,BACE1
1951,CHEMBL260722,,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3ccccc3C(F)(F)F)C(=O)N2)c1,583.66,3.54,5.0,4.0,96.94,BACE1
1952,CHEMBL410865,,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)c(F)cc3F)C(=O)N2)c1,569.63,2.94,5.0,4.0,96.94,BACE1
1953,CHEMBL413999,,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1,551.64,2.80,5.0,4.0,96.94,BACE1
1954,CHEMBL265953,,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3ccc(F)cc3F)C(=O)N2)c1,551.64,2.80,5.0,4.0,96.94,BACE1
1955,CHEMBL260634,,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3ccc(F)c(F)c3)C(=O)N2)c1,551.64,2.80,5.0,4.0,96.94,BACE1
1956,CHEMBL260635,,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3ccc(F)cc3)C(=O)N2)c1,533.65,2.66,5.0,4.0,96.94,BACE1
1957,CHEMBL405204,,COc1cc(CN2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc3cccc(N(C)C)c3)NC2=O)cc(OC)c1,575.71,2.54,7.0,4.0,115.40,BACE1
1958,CHEMBL468168,,CCC(C)C1NC(=O)C(SCc2cccc(C(F)(F)F)c2)=C1O,345.39,4.25,3.0,2.0,49.33,BACE1
1959,CHEMBL474057,,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc2c1CCCCO2)c1ccccc1,541.69,4.35,5.0,4.0,99.69,BACE1
1960,CHEMBL473854,,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc2c1CCCO2)c1ccccc1,527.67,3.96,5.0,4.0,99.69,BACE1
1961,CHEMBL464918,,C[C@@H](NC(=O)c1cc2c(c(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC3CC3)c1)CCCCO2)c1ccccc1,541.69,4.35,5.0,4.0,99.69,BACE1
1962,CHEMBL517179,,C[C@@H](NC(=O)c1cc2c(c(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC3CC3)c1)CCCO2)c1ccccc1,527.67,3.96,5.0,4.0,99.69,BACE1
1963,CHEMBL499468,,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N2CCCCS2(=O)=O)c1)c1ccccc1,604.77,3.56,6.0,4.0,127.84,BACE1
1964,CHEMBL446879,,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc2c1CCCCO2)c1ccc(F)cc1,559.68,4.49,5.0,4.0,99.69,BACE1
1965,CHEMBL514310,,Cc1cc2c(C(=O)N[C@H](C)c3ccccc3)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC3CC3)cc2o1,525.65,4.69,5.0,4.0,103.60,BACE1
1966,CHEMBL463864,,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc2c1CCCO2)c1ccc(F)cc1,545.66,4.10,5.0,4.0,99.69,BACE1
